,date,Tarif ≤ 3 kWc,Tarif ≤ 9 kWc
0,2020-01-01,18.53,15.75
1,2020-02-28,18.53,15.75
2,2020-06-30,18.53,15.75
3,2020-07-01,18.44,15.67
4,2020-08-31,18.44,15.67
5,2020-12-31,17.97,15.27
6,2021-01-01,17.93,15.24
7,2021-02-28,17.93,15.24
8,2021-06-30,17.79,15.12
9,2021-07-01,17.89,15.21
10,2021-08-31,17.89,15.21
11,2021-12-09,17.89,15.21
12,2022-01-31,17.89,15.21
13,2022-02-01,17.89,15.21
14,2022-06-01,18.14,15.42
15,2022-07-30,18.14,15.42
16,2022-08-01,20.22,17.18
17,2022-12-01,22.42,19.06
18,2023-01-31,22.42,19.06
19,2023-02-01,23.49,19.96
20,2023-06-01,23.95,20.35
21,2023-07-31,23.95,20.35
22,2023-08-01,20.77,17.65
23,2023-12-01,17.35,14.74
24,2024-01-31,17.35,14.74
25,2024-02-01,16.57,14.09
26,2024-06-01,14.3,12.15
27,2024-07-31,14.3,12.15
28,2024-08-01,12.05,10.24
29,2024-12-01,10.31,8.76
30,2024-01-01,10.31,8.76
31,2025-02-26,10.31,8.76
32,2025-06-30,0.0,0.0
